,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,FIE 1 minus FIE 2,num of Valence 1 minus num of Valence 2,IE 1 minus IE 2,G_C2O2 - Gco,Gc-c_ML,Gc-c_Final
11,O,SH,1.5,8.25,2.92,0.66,12.8,1.44,1.51,6.5,1.05,0.05,1.64,1.0,3.2,,0.06228908523917198,0.06228908523917198
12,O,SH2,2.0,7.0,2.88,0.6,13.07,1.33,1.46,7.0,1.11,0.07,1.1,2.0,3.16,,0.10229276120662689,0.10229276120662689
13,O,F,1.0,8.5,3.71,0.64,15.52,2.43,1.5,6.5,0.54,0.01,3.8,1.0,3.8,,0.026939023286104202,0.026939023286104202
14,O,Cl,1.0,12.5,3.3,0.81,13.29,2.54,1.64,6.5,0.28,0.36,0.65,1.0,0.65,0.14972,0.14951281249523163,0.14972
15,O,Br,1.0,21.5,3.2,0.89,12.72,2.41,1.69,6.5,0.48,0.51,1.8,1.0,1.81,,0.13722297549247742,0.13722297549247742
16,O,I,1.0,30.5,3.05,0.98,12.03,2.26,1.75,6.5,0.78,0.7,3.17,1.0,3.17,,0.07688877731561661,0.07688877731561661
17,OH,O,1.5,6.25,3.13,0.56,13.61,1.28,1.44,6.5,0.62,0.15,0.01,1.0,0.6,0.06446,0.06454789638519287,0.06446
18,OH,OH,2.0,4.5,2.82,0.48,13.61,1.11,1.36,7.0,0.0,0.0,0.0,0.0,0.0,0.20088,0.2000046968460083,0.20088
19,OH,N,1.5,5.75,2.93,0.6,14.07,0.52,1.46,6.0,0.22,0.23,0.93,2.0,1.51,,0.11961828172206879,0.11961828172206879
20,OH,NH,2.0,4.25,2.72,0.5,13.84,0.72,1.37,6.5,0.2,0.04,0.46,1.0,0.22,,0.06754275411367416,0.06754275411367416
21,OH,NH2,2.5,3.75,2.65,0.47,13.76,0.79,1.34,7.0,0.34,0.03,0.3,0.0,2.24,,-0.01091547030955553,-0.01091547030955553
22,OH,NH3,3.0,3.5,2.62,0.45,13.72,0.83,1.32,7.5,0.41,0.06,0.22,1.0,2.95,-0.10022,-0.09951867163181305,-0.10022
23,OH,C,1.5,5.25,2.69,0.62,12.43,1.18,1.53,5.5,0.27,0.27,2.35,3.0,1.76,0.10244,0.10204199701547623,0.10244
24,OH,CH,2.0,4.0,2.6,0.51,13.02,1.06,1.41,6.0,0.45,0.06,1.18,2.0,2.38,0.00525,0.004666376858949661,0.00525
25,OH,CH2,2.5,3.58,2.57,0.47,13.21,1.01,1.36,6.5,0.5,0.02,0.79,1.0,2.62,,-0.09617464244365692,-0.09617464244365692
26,OH,CH3,3.0,3.38,2.55,0.46,13.31,0.99,1.34,7.0,0.53,0.05,0.59,0.0,3.18,,-0.09212463349103928,-0.09212463349103928
27,OH,S,1.5,10.25,2.7,0.76,11.98,1.59,1.58,6.5,0.24,0.55,3.25,1.0,2.66,,0.2901621460914612,0.2901621460914612
28,OH,SH,2.0,6.5,2.61,0.58,12.79,1.26,1.43,7.0,0.43,0.2,1.63,0.0,2.6,,0.10043162852525711,0.10043162852525711
29,OH,SH2,2.5,5.25,2.57,0.52,13.06,1.15,1.38,7.5,0.49,0.08,1.09,1.0,2.56,-0.07377,-0.07365413755178452,-0.07377
30,OH,F,1.5,6.75,3.4,0.56,15.52,2.25,1.42,7.0,1.16,0.16,3.81,0.0,4.4,0.09512000000000001,0.09550102800130844,0.09512000000000001
31,OH,Cl,1.5,10.75,2.99,0.74,13.29,2.36,1.56,7.0,0.34,0.51,0.64,0.0,0.05,,0.13468356430530548,0.13468356430530548
32,OH,Br,1.5,19.75,2.89,0.81,12.71,2.24,1.61,7.0,0.14,0.66,1.79,0.0,1.21,,0.13690203428268433,0.13690203428268433
33,OH,I,1.5,28.75,2.74,0.91,12.03,2.08,1.67,7.0,0.16,0.85,3.16,0.0,2.57,,0.07969561964273453,0.07969561964273453
34,N,O,1.0,7.5,3.24,0.67,14.08,0.7,1.54,5.5,0.4,0.08,0.92,1.0,0.91,,0.05865770950913429,0.05865770950913429
35,N,OH,1.5,5.75,2.93,0.6,14.07,0.52,1.46,6.0,0.22,0.23,0.93,2.0,1.51,,0.11961828172206879,0.11961828172206879
36,N,N,1.0,7.0,3.04,0.71,14.53,-0.07,1.55,5.0,0.0,0.0,0.0,0.0,0.0,,0.13076752424240112,0.13076752424240112
37,N,NH,1.5,5.5,2.83,0.62,14.3,0.14,1.46,5.5,0.42,0.19,0.47,1.0,1.73,,0.07944256067276001,0.07944256067276001
38,N,NH2,2.0,5.0,2.76,0.58,14.22,0.2,1.43,6.0,0.56,0.26,0.62,2.0,3.75,,0.030636636540293694,0.030636636540293694
39,N,NH3,2.5,4.75,2.73,0.57,14.18,0.24,1.42,6.5,0.63,0.29,0.7,3.0,4.46,,0.030636636540293694,0.030636636540293694
40,N,C,1.0,6.5,2.8,0.73,12.9,0.6,1.63,4.5,0.49,0.04,3.27,1.0,3.27,-0.13005999999999998,-0.1305132657289505,-0.13005999999999998
41,N,CH,1.5,5.25,2.71,0.63,13.48,0.47,1.5,5.0,0.67,0.17,2.11,0.0,3.89,,0.0313875749707222,0.0313875749707222
42,N,CH2,2.0,4.83,2.68,0.59,13.68,0.43,1.46,5.5,0.72,0.25,1.72,1.0,4.13,,0.030112432315945625,0.030112432315945625
43,N,CH3,2.5,4.63,2.66,0.57,13.77,0.41,1.44,6.0,0.75,0.28,1.52,2.0,4.69,0.030539999999999998,0.030636636540293694,0.030539999999999998
44,N,S,1.0,11.5,2.81,0.87,12.45,1.0,1.68,5.5,0.46,0.32,4.17,1.0,4.17,0.14989,0.1499316692352295,0.14989
45,N,SH,1.5,7.75,2.72,0.7,13.26,0.67,1.53,6.0,0.65,0.03,2.56,2.0,4.11,,0.08869230002164841,0.08869230002164841
46,N,SH2,2.0,6.5,2.68,0.64,13.53,0.56,1.48,6.5,0.71,0.15,2.02,3.0,4.07,,0.07814016938209534,0.07814016938209534
47,N,F,1.0,8.0,3.51,0.68,15.98,1.67,1.51,6.0,0.94,0.07,2.89,2.0,2.89,,0.08216149359941483,0.08216149359941483
48,N,Cl,1.0,12.0,3.1,0.85,13.75,1.77,1.65,6.0,0.12,0.28,1.57,2.0,1.56,,0.07843571901321411,0.07843571901321411
49,N,Br,1.0,21.0,3.0,0.93,13.17,1.65,1.7,6.0,0.08,0.43,2.72,2.0,2.72,,0.09516160190105438,0.09516160190105438
50,N,I,1.0,30.0,2.85,1.02,12.49,1.49,1.77,6.0,0.38,0.62,4.08,2.0,4.08,,0.14238996803760529,0.14238996803760529
51,NH,O,1.5,6.0,3.03,0.58,13.84,0.9,1.45,6.0,0.82,0.11,0.45,0.0,0.82,,0.06383264809846878,0.06383264809846878
52,NH,OH,2.0,4.25,2.72,0.5,13.84,0.72,1.37,6.5,0.2,0.04,0.46,1.0,0.22,,0.06754275411367416,0.06754275411367416
53,NH,N,1.5,5.5,2.83,0.62,14.3,0.14,1.46,5.5,0.42,0.19,0.47,1.0,1.73,,0.07944256067276001,0.07944256067276001
54,NH,NH,2.0,4.0,2.62,0.52,14.07,0.34,1.38,6.0,0.0,0.0,0.0,0.0,0.0,,0.14741143584251404,0.14741143584251404
55,NH,NH2,2.5,3.5,2.55,0.49,13.99,0.41,1.35,6.5,0.14,0.07,0.16,1.0,2.02,0.08442999999999999,0.08506812900304794,0.08442999999999999
56,NH,NH3,3.0,3.25,2.52,0.47,13.95,0.45,1.33,7.0,0.21,0.1,0.23,2.0,2.73,,0.06878858059644699,0.06878858059644699
57,NH,C,1.5,5.0,2.59,0.64,12.66,0.8,1.54,5.0,0.07,0.23,2.81,2.0,1.54,,0.10619014501571655,0.10619014501571655
58,NH,CH,2.0,3.75,2.5,0.53,13.25,0.68,1.41,5.5,0.25,0.02,1.64,1.0,2.16,-0.00049,-0.0006246919510886073,-0.00049
59,NH,CH2,2.5,3.33,2.47,0.49,13.44,0.63,1.37,6.0,0.3,0.06,1.25,0.0,2.4,,-0.000627921661362052,-0.000627921661362052
60,NH,CH3,3.0,3.13,2.45,0.48,13.54,0.61,1.35,6.5,0.33,0.09,1.05,1.0,2.96,0.056170000000000005,0.055703070014715195,0.056170000000000005
61,NH,S,1.5,10.0,2.6,0.78,12.21,1.21,1.59,6.0,0.04,0.51,3.71,0.0,2.44,,0.09154798835515976,0.09154798835515976
62,NH,SH,2.0,6.25,2.51,0.6,13.02,0.88,1.44,6.5,0.23,0.16,2.09,1.0,2.38,,0.10929974168539047,0.10929974168539047
63,NH,SH2,2.5,5.0,2.47,0.54,13.29,0.77,1.39,7.0,0.29,0.04,1.55,2.0,2.34,,-0.0076167648658156395,-0.0076167648658156395
64,NH,F,1.5,6.5,3.3,0.58,15.74,1.87,1.42,6.5,1.36,0.12,3.36,1.0,4.62,,-0.08745722472667694,-0.08745722472667694
65,NH,Cl,1.5,10.5,2.89,0.76,13.52,1.98,1.56,6.5,0.54,0.47,1.1,1.0,0.17,,0.13728153705596924,0.13728153705596924
66,NH,Br,1.5,19.5,2.79,0.83,12.94,1.85,1.61,6.5,0.34,0.62,2.25,1.0,0.99,,0.12892025709152222,0.12892025709152222
67,NH,I,1.5,28.5,2.64,0.93,12.26,1.7,1.68,6.5,0.04,0.81,3.62,1.0,2.35,,0.08829482644796371,0.08829482644796371
68,NH2,O,2.0,5.5,2.96,0.54,13.76,0.97,1.42,6.5,0.96,0.18,0.29,1.0,2.84,,0.03107498399913311,0.03107498399913311
69,NH2,OH,2.5,3.75,2.65,0.47,13.76,0.79,1.34,7.0,0.34,0.03,0.3,0.0,2.24,,-0.01091547030955553,-0.01091547030955553
70,NH2,N,2.0,5.0,2.76,0.58,14.22,0.2,1.43,6.0,0.56,0.26,0.62,2.0,3.75,,0.030636636540293694,0.030636636540293694
71,NH2,NH,2.5,3.5,2.55,0.49,13.99,0.41,1.35,6.5,0.14,0.07,0.16,1.0,2.02,0.08442999999999999,0.08506812900304794,0.08442999999999999
72,NH2,NH2,3.0,3.0,2.48,0.45,13.91,0.48,1.32,7.0,0.0,0.0,0.0,0.0,0.0,,0.14741143584251404,0.14741143584251404
73,NH2,NH3,3.5,2.75,2.45,0.44,13.87,0.51,1.3,7.5,0.07,0.03,0.08,1.0,0.71,,0.06736348569393158,0.06736348569393158
74,NH2,C,2.0,4.5,2.52,0.6,12.59,0.87,1.51,5.5,0.07,0.3,2.65,3.0,0.48,0.14351,0.1433136910200119,0.14351
75,NH2,CH,2.5,3.25,2.43,0.5,13.17,0.74,1.38,6.0,0.11,0.09,1.48,2.0,0.14,,0.08564888685941696,0.08564888685941696
76,NH2,CH2,3.0,2.83,2.4,0.46,13.36,0.7,1.34,6.5,0.16,0.01,1.09,1.0,0.38,,0.06585869938135147,0.06585869938135147
77,NH2,CH3,3.5,2.63,2.38,0.44,13.46,0.68,1.32,7.0,0.19,0.02,0.9,0.0,0.94,,0.06463415175676346,0.06463415175676346
78,NH2,S,2.0,9.5,2.53,0.74,12.14,1.28,1.56,6.5,0.1,0.58,3.55,1.0,0.42,0.1277,0.1277661919593811,0.1277
79,NH2,SH,2.5,5.75,2.44,0.57,12.94,0.95,1.41,7.0,0.09,0.23,1.93,0.0,0.36,,0.11907707899808884,0.11907707899808884
80,NH2,SH2,3.0,4.5,2.4,0.51,13.21,0.84,1.36,7.5,0.15,0.11,1.39,1.0,0.32,,0.14255966246128082,0.14255966246128082
81,NH2,F,2.0,6.0,3.23,0.55,15.67,1.94,1.39,7.0,1.5,0.19,3.51,0.0,6.64,,0.10043162852525711,0.10043162852525711
82,NH2,Cl,2.0,10.0,2.82,0.72,13.44,2.05,1.53,7.0,0.68,0.54,0.94,0.0,2.19,,0.08659690618515015,0.08659690618515015
83,NH2,Br,2.0,19.0,2.72,0.8,12.86,1.92,1.58,7.0,0.48,0.69,2.1,0.0,1.03,,0.1336020827293396,0.1336020827293396
84,NH2,I,2.0,28.0,2.57,0.89,12.18,1.77,1.65,7.0,0.18,0.88,3.46,0.0,0.33,,0.11293469369411469,0.11293469369411469
85,NH3,O,2.5,5.25,2.93,0.53,13.73,1.0,1.4,7.0,1.03,0.21,0.21,2.0,3.55,,0.03107498399913311,0.03107498399913311
86,NH3,OH,3.0,3.5,2.62,0.45,13.72,0.83,1.32,7.5,0.41,0.06,0.22,1.0,2.95,-0.10022,-0.09951867163181305,-0.10022
87,NH3,N,2.5,4.75,2.73,0.57,14.18,0.24,1.42,6.5,0.63,0.29,0.7,3.0,4.46,,0.030636636540293694,0.030636636540293694
88,NH3,NH,3.0,3.25,2.52,0.47,13.95,0.45,1.33,7.0,0.21,0.1,0.23,2.0,2.73,,0.06878858059644699,0.06878858059644699
89,NH3,NH2,3.5,2.75,2.45,0.44,13.87,0.51,1.3,7.5,0.07,0.03,0.08,1.0,0.71,,0.06736348569393158,0.06736348569393158
90,NH3,NH3,4.0,2.5,2.41,0.42,13.83,0.55,1.29,8.0,0.0,0.0,0.0,0.0,0.0,,0.14741143584251404,0.14741143584251404
91,NH3,C,2.5,4.25,2.48,0.59,12.55,0.91,1.49,6.0,0.14,0.33,2.57,4.0,1.19,0.08879,0.08869676291942596,0.08879
92,NH3,CH,3.0,3.0,2.39,0.48,13.13,0.78,1.37,6.5,0.04,0.12,1.4,3.0,0.57,,0.08564888685941696,0.08564888685941696
93,NH3,CH2,3.5,2.58,2.36,0.44,13.33,0.74,1.33,7.0,0.09,0.04,1.01,2.0,0.33,,0.06463415175676346,0.06463415175676346
94,NH3,CH3,4.0,2.38,2.35,0.43,13.42,0.71,1.31,7.5,0.12,0.01,0.82,1.0,0.23,,0.06463415175676346,0.06463415175676346
95,NH3,S,2.5,9.25,2.5,0.73,12.1,1.31,1.54,7.0,0.17,0.61,3.47,2.0,0.29,,0.030176939442753792,0.030176939442753792
96,NH3,SH,3.0,5.5,2.4,0.55,12.91,0.98,1.39,7.5,0.02,0.26,1.85,1.0,0.35,,0.1026962623000145,0.1026962623000145
97,NH3,SH2,3.5,4.25,2.37,0.49,13.18,0.87,1.34,8.0,0.08,0.14,1.31,0.0,0.39,,0.08996642380952835,0.08996642380952835
98,NH3,F,2.5,5.75,3.2,0.53,15.63,1.97,1.38,7.5,1.57,0.22,3.59,1.0,7.35,,0.10570146888494492,0.10570146888494492
99,NH3,Cl,2.5,9.75,2.79,0.71,13.4,2.08,1.52,7.5,0.75,0.57,0.87,1.0,2.9,,0.10034173727035522,0.10034173727035522
100,NH3,Br,2.5,18.75,2.69,0.78,12.82,1.96,1.57,7.5,0.55,0.72,2.02,1.0,1.74,,0.1336020827293396,0.1336020827293396
101,NH3,I,2.5,27.75,2.54,0.88,12.14,1.8,1.63,7.5,0.25,0.91,3.38,1.0,0.38,,0.11293469369411469,0.11293469369411469
102,C,O,1.0,7.0,3.0,0.69,12.44,1.36,1.61,5.0,0.89,0.12,2.36,2.0,2.36,,0.09142711758613586,0.09142711758613586
103,C,OH,1.5,5.25,2.69,0.62,12.43,1.18,1.53,5.5,0.27,0.27,2.35,3.0,1.76,0.10244,0.10204199701547623,0.10244
104,C,N,1.0,6.5,2.8,0.73,12.9,0.6,1.63,4.5,0.49,0.04,3.27,1.0,3.27,-0.13005999999999998,-0.1305132657289505,-0.13005999999999998
105,C,NH,1.5,5.0,2.59,0.64,12.66,0.8,1.54,5.0,0.07,0.23,2.81,2.0,1.54,,0.10619014501571655,0.10619014501571655
106,C,NH2,2.0,4.5,2.52,0.6,12.59,0.87,1.51,5.5,0.07,0.3,2.65,3.0,0.48,0.14351,0.1433136910200119,0.14351
107,C,NH3,2.5,4.25,2.48,0.59,12.55,0.91,1.49,6.0,0.14,0.33,2.57,4.0,1.19,0.08879,0.08869676291942596,0.08879
108,C,C,1.0,6.0,2.55,0.75,11.26,1.26,1.7,4.0,0.0,0.0,0.0,0.0,0.0,,0.3321400582790375,0.3321400582790375
109,C,CH,1.5,4.75,2.46,0.65,11.84,1.14,1.58,4.5,0.18,0.21,1.17,1.0,0.62,,0.19187644124031067,0.19187644124031067
110,C,CH2,2.0,4.33,2.43,0.61,12.04,1.09,1.53,5.0,0.23,0.29,1.56,2.0,0.86,,-0.007347321603447199,-0.007347321603447199
111,C,CH3,2.5,4.13,2.42,0.59,12.14,1.07,1.51,5.5,0.26,0.32,1.75,3.0,1.42,,0.0012802050914615393,0.0012802050914615393
112,C,S,1.0,11.0,2.57,0.89,10.81,1.67,1.75,5.0,0.03,0.28,0.9,2.0,0.9,,0.20492088794708252,0.20492088794708252
113,C,SH,1.5,7.25,2.47,0.72,11.62,1.34,1.6,5.5,0.16,0.07,0.72,3.0,0.84,,0.21563534438610077,0.21563534438610077
114,C,SH2,2.0,6.0,2.44,0.66,11.89,1.23,1.55,6.0,0.22,0.19,1.26,4.0,0.8,,0.20404288172721863,0.20404288172721863
115,C,F,1.0,7.5,3.27,0.7,14.34,2.33,1.59,5.5,1.43,0.11,6.16,3.0,6.16,,0.09163588285446167,0.09163588285446167
116,C,Cl,1.0,11.5,2.86,0.87,12.11,2.44,1.73,5.5,0.61,0.24,1.71,3.0,1.71,,-0.006654853001236916,-0.006654853001236916
117,C,Br,1.0,20.5,2.76,0.95,11.54,2.31,1.78,5.5,0.41,0.39,0.55,3.0,0.55,,0.19601954519748688,0.19601954519748688
118,C,I,1.0,29.5,2.61,1.04,10.86,2.16,1.84,5.5,0.11,0.58,0.81,3.0,0.81,,0.3130849003791809,0.3130849003791809
119,CH,O,1.5,5.75,2.91,0.59,13.02,1.23,1.49,5.5,1.07,0.09,1.19,1.0,2.98,,-0.0820389911532402,-0.0820389911532402
120,CH,OH,2.0,4.0,2.6,0.51,13.02,1.06,1.41,6.0,0.45,0.06,1.18,2.0,2.38,0.00525,0.004666376858949661,0.00525
121,CH,N,1.5,5.25,2.71,0.63,13.48,0.47,1.5,5.0,0.67,0.17,2.11,0.0,3.89,,0.0313875749707222,0.0313875749707222
122,CH,NH,2.0,3.75,2.5,0.53,13.25,0.67,1.41,5.5,0.25,0.02,1.64,1.0,2.16,-0.00049,-0.0006246919510886073,-0.00049
123,CH,NH2,2.5,3.25,2.43,0.5,13.17,0.74,1.38,6.0,0.11,0.09,1.48,2.0,0.14,,0.08564888685941696,0.08564888685941696
124,CH,NH3,3.0,3.0,2.39,0.48,13.13,0.78,1.37,6.5,0.04,0.12,1.4,3.0,0.57,,0.08564888685941696,0.08564888685941696
125,CH,C,1.5,4.75,2.46,0.65,11.84,1.13,1.58,4.5,0.18,0.21,1.17,1.0,0.62,,0.19187644124031067,0.19187644124031067
126,CH,CH,2.0,3.5,2.38,0.54,12.43,1.01,1.45,5.0,0.0,0.0,0.0,0.0,0.0,,0.14741143584251404,0.14741143584251404
127,CH,CH2,2.5,3.08,2.35,0.5,12.62,0.96,1.41,5.5,0.06,0.08,0.39,1.0,0.24,,0.0850347951054573,0.0850347951054573
128,CH,CH3,3.0,2.88,2.33,0.49,12.72,0.94,1.39,6.0,0.09,0.11,0.58,2.0,0.8,,0.0850347951054573,0.0850347951054573
129,CH,S,1.5,9.75,2.48,0.79,11.39,1.54,1.63,5.5,0.21,0.49,2.07,1.0,0.28,,0.20479382574558258,0.20479382574558258
130,CH,SH,2.0,6.0,2.38,0.61,12.2,1.21,1.48,6.0,0.02,0.14,0.45,2.0,0.22,0.04757,0.04776930436491966,0.04757
131,CH,SH2,2.5,4.75,2.35,0.55,12.47,1.1,1.43,6.5,0.05,0.02,0.09,3.0,0.18,,0.07871957123279572,0.07871957123279572
132,CH,F,1.5,6.25,3.18,0.59,14.93,2.2,1.46,6.0,1.61,0.1,4.99,2.0,6.78,-0.08787,-0.08772128075361252,-0.08787
133,CH,Cl,1.5,10.25,2.77,0.77,12.7,2.31,1.6,6.0,0.79,0.45,0.54,2.0,2.33,0.0864,0.08650724589824677,0.0864
134,CH,Br,1.5,19.25,2.67,0.84,12.12,2.19,1.65,6.0,0.59,0.6,0.62,2.0,1.17,0.10082,0.1010139063000679,0.10082
135,CH,I,1.5,28.25,2.52,0.94,11.44,2.03,1.72,6.0,0.29,0.79,1.98,2.0,0.19,,0.30130285024642944,0.30130285024642944
136,CH2,O,2.0,5.33,2.88,0.55,13.22,1.19,1.44,6.0,1.12,0.17,0.8,0.0,3.22,,0.03107498399913311,0.03107498399913311
137,CH2,OH,2.5,3.58,2.57,0.47,13.21,1.02,1.36,6.5,0.5,0.02,0.79,1.0,2.62,,-0.09617464244365692,-0.09617464244365692
138,CH2,N,2.0,4.83,2.68,0.59,13.68,0.43,1.46,5.5,0.72,0.25,1.72,1.0,4.13,,0.030112432315945625,0.030112432315945625
139,CH2,NH,2.5,3.33,2.47,0.49,13.44,0.63,1.37,6.0,0.3,0.06,1.25,0.0,2.4,,-0.000627921661362052,-0.000627921661362052
140,CH2,NH2,3.0,2.83,2.4,0.46,13.36,0.7,1.34,6.5,0.16,0.01,1.09,1.0,0.38,,0.06585869938135147,0.06585869938135147
141,CH2,NH3,3.5,2.58,2.36,0.44,13.33,0.74,1.33,7.0,0.09,0.04,1.01,2.0,0.33,,0.06463415175676346,0.06463415175676346
142,CH2,C,2.0,4.33,2.43,0.61,12.04,1.09,1.53,5.0,0.23,0.29,1.56,2.0,0.86,,-0.007347321603447199,-0.007347321603447199
143,CH2,CH,2.5,3.08,2.35,0.5,12.62,0.97,1.41,5.5,0.06,0.08,0.39,1.0,0.24,,0.0850347951054573,0.0850347951054573
144,CH2,CH2,3.0,2.67,2.32,0.46,12.82,0.92,1.37,6.0,0.0,0.0,0.0,0.0,0.0,,0.14741143584251404,0.14741143584251404
145,CH2,CH3,3.5,2.46,2.3,0.45,12.92,0.9,1.35,6.5,0.03,0.03,0.19,1.0,0.56,,0.06585869938135147,0.06585869938135147
146,CH2,S,2.0,9.33,2.45,0.75,11.59,1.5,1.58,6.0,0.26,0.57,2.46,0.0,0.04,,0.3067935109138489,0.3067935109138489
147,CH2,SH,2.5,5.58,2.35,0.57,12.4,1.17,1.43,6.5,0.07,0.22,0.84,1.0,0.02,0.09286,0.09303557872772217,0.09286
148,CH2,SH2,3.0,4.33,2.32,0.51,12.67,1.06,1.38,7.0,0.01,0.1,0.3,2.0,0.06,0.10037,0.10076022893190384,0.10037
149,CH2,F,2.0,5.83,3.15,0.55,15.12,2.16,1.42,6.5,1.66,0.18,4.6,1.0,7.02,,0.17962585389614105,0.17962585389614105
150,CH2,Cl,2.0,9.83,2.74,0.73,12.89,2.27,1.56,6.5,0.84,0.53,0.15,1.0,2.57,,0.10096732527017593,0.10096732527017593
151,CH2,Br,2.0,18.83,2.64,0.8,12.32,2.14,1.61,6.5,0.64,0.68,1.0,1.0,1.41,0.10920999999999999,0.10929300636053085,0.10920999999999999
152,CH2,I,2.0,27.83,2.49,0.9,11.63,1.99,1.67,6.5,0.34,0.87,2.37,1.0,0.05,,0.3000277280807495,0.3000277280807495
153,CH3,O,2.5,5.13,2.86,0.53,13.32,1.17,1.42,6.5,1.15,0.2,0.6,1.0,3.78,,0.03107498399913311,0.03107498399913311
154,CH3,OH,3.0,3.38,2.55,0.46,13.31,0.99,1.34,7.0,0.53,0.05,0.59,0.0,3.18,,-0.09212463349103928,-0.09212463349103928
155,CH3,N,2.5,4.63,2.66,0.57,13.77,0.41,1.44,6.0,0.75,0.28,1.52,2.0,4.69,0.030539999999999998,0.030636636540293694,0.030539999999999998
156,CH3,NH,3.0,3.13,2.45,0.48,13.54,0.61,1.35,6.5,0.33,0.09,1.05,1.0,2.96,0.056170000000000005,0.055703070014715195,0.056170000000000005
157,CH3,NH2,3.5,2.63,2.38,0.44,13.46,0.68,1.32,7.0,0.19,0.02,0.9,0.0,0.94,,0.06463415175676346,0.06463415175676346
158,CH3,NH3,4.0,2.38,2.35,0.43,13.42,0.71,1.31,7.5,0.12,0.01,0.82,1.0,0.23,,0.06463415175676346,0.06463415175676346
159,CH3,C,2.5,4.13,2.42,0.59,12.14,1.07,1.51,5.5,0.26,0.32,1.75,3.0,1.42,,0.0012802050914615393,0.0012802050914615393
160,CH3,CH,3.0,2.88,2.33,0.49,12.72,0.94,1.39,6.0,0.09,0.11,0.58,2.0,0.8,,0.0850347951054573,0.0850347951054573
161,CH3,CH2,3.5,2.46,2.3,0.45,12.92,0.9,1.35,6.5,0.03,0.03,0.19,1.0,0.56,,0.06585869938135147,0.06585869938135147
162,CH3,CH3,4.0,2.25,2.29,0.43,13.01,0.88,1.33,7.0,0.0,0.0,0.0,0.0,0.0,,0.14741143584251404,0.14741143584251404
163,CH3,S,2.5,9.13,2.43,0.73,11.69,1.48,1.56,6.5,0.29,0.6,2.65,1.0,0.52,0.22853,0.2296086549758911,0.22853
164,CH3,SH,3.0,5.38,2.34,0.56,12.5,1.15,1.41,7.0,0.1,0.25,1.03,0.0,0.58,,0.09853718429803848,0.09853718429803848
165,CH3,SH2,3.5,4.13,2.31,0.5,12.77,1.04,1.36,7.5,0.04,0.13,0.49,1.0,0.62,,0.0893523320555687,0.0893523320555687
166,CH3,F,2.5,5.63,3.13,0.54,15.22,2.14,1.4,7.0,1.69,0.21,4.41,0.0,7.58,0.18011,0.17962585389614105,0.18011
167,CH3,Cl,2.5,9.63,2.72,0.71,12.99,2.25,1.54,7.0,0.87,0.56,0.05,0.0,3.13,,0.10096732527017593,0.10096732527017593
168,CH3,Br,2.5,18.63,2.62,0.79,12.41,2.12,1.59,7.0,0.67,0.71,1.2,0.0,1.97,,0.13412629067897797,0.13412629067897797
169,CH3,I,2.5,27.63,2.47,0.88,11.73,1.97,1.65,7.0,0.37,0.9,2.56,0.0,0.61,,0.2992865741252899,0.2992865741252899
