,Adsorbate 1,Adsorbate 2,Average Atomic num,Average PE,Average IE,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,num of Valence 1 minus num of Valence 2,G_CHO - Gco,Ghyd_ML,Ghyd_Final
154,CH3,OH,3.38,2.55,11.43,7.0,-0.53,-0.05,0.0,,0.14350099861621857,0.14350099861621857
155,CH3,N,4.63,2.66,12.19,6.0,-0.75,-0.28,2.0,0.12575999999999998,0.1354028731584549,0.12575999999999998
156,CH3,NH,3.13,2.45,11.32,6.5,-0.33,-0.09,1.0,0.29963,0.29880180954933167,0.29963
157,CH3,NH2,2.63,2.38,10.31,7.0,-0.19,-0.02,0.0,,0.2285858392715454,0.2285858392715454
158,CH3,NH3,2.38,2.35,9.96,7.5,-0.12,0.01,-1.0,,0.28908586502075195,0.28908586502075195
159,CH3,C,4.13,2.42,10.55,5.5,-0.26,-0.32,3.0,,0.12381396442651749,0.12381396442651749
160,CH3,CH,2.88,2.33,10.24,6.0,-0.09,-0.11,2.0,,0.06839943677186966,0.06839943677186966
161,CH3,CH2,2.46,2.3,10.12,6.5,-0.03,-0.03,1.0,,0.24214917421340942,0.24214917421340942
162,CH3,CH3,2.25,2.29,9.84,7.0,0.0,0.0,0.0,,0.1748124063014984,0.1748124063014984
163,CH3,S,9.13,2.43,10.1,6.5,-0.29,-0.6,1.0,0.36726,0.3635099530220032,0.36726
164,CH3,SH,5.38,2.34,10.13,7.0,-0.1,-0.25,0.0,,0.40893110632896423,0.40893110632896423
165,CH3,SH2,4.13,2.31,10.15,7.5,-0.04,-0.13,-1.0,,0.1469401717185974,0.1469401717185974
166,CH3,F,5.63,3.13,13.63,7.0,-1.69,-0.21,0.0,0.28689000000000003,0.2867681682109833,0.28689000000000003
167,CH3,Cl,9.63,2.72,11.41,7.0,-0.87,-0.56,0.0,,0.2163081169128418,0.2163081169128418
168,CH3,Br,18.63,2.62,10.83,7.0,-0.67,-0.71,0.0,,0.16881023347377777,0.16881023347377777
169,CH3,I,27.63,2.47,10.15,7.0,-0.37,-0.9,0.0,,0.34370851516723633,0.34370851516723633
170,S,O,12.0,3.01,11.99,6.0,-0.86,0.4,0.0,,0.10744162648916245,0.10744162648916245
171,S,OH,10.25,2.7,11.69,6.5,-0.24,0.55,-1.0,,0.2493598759174347,0.2493598759174347
172,S,N,11.5,2.81,12.45,5.5,-0.46,0.32,1.0,0.03232,0.07339846342802048,0.03232
173,S,NH,10.0,2.6,11.58,6.0,-0.04,0.51,0.0,,0.12484363466501236,0.12484363466501236
174,S,NH2,9.5,2.53,10.57,6.5,0.1,0.58,-1.0,0.22685,0.22791078686714172,0.22685
175,S,NH3,9.25,2.5,10.22,7.0,0.17,0.61,-2.0,,0.3630196750164032,0.3630196750164032
176,S,C,11.0,2.57,10.81,5.0,0.03,0.28,2.0,,0.15153536200523376,0.15153536200523376
177,S,CH,9.75,2.48,10.5,5.5,0.21,0.49,1.0,,0.12063891440629959,0.12063891440629959
178,S,CH2,9.33,2.45,10.38,6.0,0.26,0.57,0.0,,0.1392839401960373,0.1392839401960373
179,S,CH3,9.13,2.43,10.1,6.5,0.29,0.6,-1.0,0.36726,0.3660494089126587,0.36726
180,S,S,16.0,2.58,10.36,6.0,0.0,0.0,0.0,,0.14802993834018707,0.14802993834018707
181,S,SH,12.25,2.49,10.39,6.5,0.19,0.35,-1.0,0.22981,0.22974443435668945,0.22981
182,S,SH2,11.0,2.45,10.41,7.0,0.25,0.47,-2.0,,0.23534491658210754,0.23534491658210754
183,S,F,12.5,3.28,13.89,6.5,-1.4,0.39,-1.0,,0.2499411702156067,0.2499411702156067
184,S,Cl,16.5,2.87,11.67,6.5,-0.58,0.04,-1.0,,0.2434496283531189,0.2434496283531189
185,S,Br,25.5,2.77,11.09,6.5,-0.38,-0.11,-1.0,,0.2502497136592865,0.2502497136592865
186,S,I,34.5,2.62,10.41,6.5,-0.08,-0.3,-1.0,,0.22914065420627594,0.22914065420627594
187,SH,O,8.25,2.92,12.02,6.5,-1.05,0.05,1.0,,0.2362641543149948,0.2362641543149948
